marker,bio_rep,prefix,date_code,scene,cell_index,region,channel,source_path,ilp_path,output_path
mbp,n1,X,2403,2,2,soma,c2,C:\Users\JackM\Desktop\out\X2403_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell02_soma_c2__mbp_seg.tiff
mbp,n1,X,2403,2,3,cell,c2,C:\Users\JackM\Desktop\out\X2403_2_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell03_cell_c2__mbp_seg.tiff
c3,n1,X,2403,2,3,cell,c3,C:\Users\JackM\Desktop\out\X2403_2_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\X2403_2_cell03_cell_c3__c3_seg.tiff
mbp,n1,X,2403,2,3,soma,c2,C:\Users\JackM\Desktop\out\X2403_2_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\X2403_2_cell03_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,0,1,cell,c2,C:\Users\JackM\Desktop\out\Y2403_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_0_cell01_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,0,1,cell,c3,C:\Users\JackM\Desktop\out\Y2403_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_0_cell01_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,0,1,soma,c2,C:\Users\JackM\Desktop\out\Y2403_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_0_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,1,1,cell,c2,C:\Users\JackM\Desktop\out\Y2403_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell01_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,1,1,cell,c3,C:\Users\JackM\Desktop\out\Y2403_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_1_cell01_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,1,1,soma,c2,C:\Users\JackM\Desktop\out\Y2403_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,1,2,cell,c2,C:\Users\JackM\Desktop\out\Y2403_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell02_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,1,2,cell,c3,C:\Users\JackM\Desktop\out\Y2403_1_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_1_cell02_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,1,2,soma,c2,C:\Users\JackM\Desktop\out\Y2403_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_1_cell02_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,2,1,cell,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell01_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,2,1,cell,c3,C:\Users\JackM\Desktop\out\Y2403_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_2_cell01_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,2,1,soma,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,2,2,cell,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell02_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,2,2,cell,c3,C:\Users\JackM\Desktop\out\Y2403_2_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_2_cell02_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,2,2,soma,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell02_soma_c2__mbp_seg.tiff
mbp,n1,Y,2403,2,3,cell,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell03_cell_c2__mbp_seg.tiff
c3,n1,Y,2403,2,3,cell,c3,C:\Users\JackM\Desktop\out\Y2403_2_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Y2403_2_cell03_cell_c3__c3_seg.tiff
mbp,n1,Y,2403,2,3,soma,c2,C:\Users\JackM\Desktop\out\Y2403_2_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Y2403_2_cell03_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,0,1,cell,c2,C:\Users\JackM\Desktop\out\Z2403_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_0_cell01_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,0,1,cell,c3,C:\Users\JackM\Desktop\out\Z2403_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_0_cell01_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,0,1,soma,c2,C:\Users\JackM\Desktop\out\Z2403_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_0_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,0,2,cell,c2,C:\Users\JackM\Desktop\out\Z2403_0_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_0_cell02_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,0,2,cell,c3,C:\Users\JackM\Desktop\out\Z2403_0_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_0_cell02_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,0,2,soma,c2,C:\Users\JackM\Desktop\out\Z2403_0_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_0_cell02_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,1,1,cell,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell01_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,1,1,cell,c3,C:\Users\JackM\Desktop\out\Z2403_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_1_cell01_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,1,1,soma,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,1,2,cell,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell02_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,1,2,cell,c3,C:\Users\JackM\Desktop\out\Z2403_1_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_1_cell02_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,1,2,soma,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell02_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,1,3,cell,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell03_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell03_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,1,3,cell,c3,C:\Users\JackM\Desktop\out\Z2403_1_cell03_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_1_cell03_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,1,3,soma,c2,C:\Users\JackM\Desktop\out\Z2403_1_cell03_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_1_cell03_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,2,1,cell,c2,C:\Users\JackM\Desktop\out\Z2403_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_2_cell01_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,2,1,cell,c3,C:\Users\JackM\Desktop\out\Z2403_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_2_cell01_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,2,1,soma,c2,C:\Users\JackM\Desktop\out\Z2403_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_2_cell01_soma_c2__mbp_seg.tiff
mbp,n1,Z,2403,2,2,cell,c2,C:\Users\JackM\Desktop\out\Z2403_2_cell02_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_2_cell02_cell_c2__mbp_seg.tiff
c3,n1,Z,2403,2,2,cell,c3,C:\Users\JackM\Desktop\out\Z2403_2_cell02_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n1\Z2403_2_cell02_cell_c3__c3_seg.tiff
mbp,n1,Z,2403,2,2,soma,c2,C:\Users\JackM\Desktop\out\Z2403_2_cell02_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n1\n1.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n1\Z2403_2_cell02_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,0,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_0_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_0_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,0,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_0_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_0_cell01_cell_c3__c3_seg.tiff
mbp,n2,X,2703,0,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_0_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_0_cell01_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,1,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_1_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_1_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,1,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_1_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_1_cell01_cell_c3__c3_seg.tiff
mbp,n2,X,2703,1,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_1_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_1_cell01_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,2,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_2_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_2_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,2,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_2_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_2_cell01_cell_c3__c3_seg.tiff
mbp,n2,X,2703,2,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_2_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_2_cell01_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,3,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_3_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_3_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,3,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_3_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_3_cell01_cell_c3__c3_seg.tiff
mbp,n2,X,2703,3,1,soma,c2,C:\Users\JackM\Desktop\out\X2703_3_cell01_soma_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_3_cell01_soma_c2__mbp_seg.tiff
mbp,n2,X,2703,4,1,cell,c2,C:\Users\JackM\Desktop\out\X2703_4_cell01_cell_c2.tif,C:\Users\JackM\Desktop\out\c2_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\mbp\n2\X2703_4_cell01_cell_c2__mbp_seg.tiff
c3,n2,X,2703,4,1,cell,c3,C:\Users\JackM\Desktop\out\X2703_4_cell01_cell_c3.tif,C:\Users\JackM\Desktop\out\c3_ilastik\n2\n2.ilp,C:\Users\JackM\src2\ensheathment\ilastik_outputs\c3\n2\X2703_4_cell01_cell_c3__c3_seg.tiff
